X Coord,Y Coord,Movement X (pixels),Movement Y (pixel),Microns Moved X,Microns Moved Y,X DAC Value,Y DAC Value,Microns Per ADU X,Microns Per ADU Y,Detected Circle Radii (pixel),Detected Pixel Size (microns/pixel),,,
861,426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,1.644736842,,,
882,453,21,27,34.53947368,44.40789474,N/A,N/A,N/A,N/A,38,1.644736842,,,
886,459,4,6,6.578947368,9.868421053,2047,2047,0.219961446,0.308388158,38,1.644736842,,,
687,180,199,279,327.3026316,458.8815789,559,559,0.251846877,0,38,1.644736842,,,
1143,242,456,62,750,101.9736842,3537,559,0,0.282223145,38,1.644736842,,,
1088,753,55,511,90.46052632,840.4605263,3537,3537,0.286641511,0,38,1.644736842,,average gain x ,average gain y
569,677,519,76,853.6184211,125,559,3537,0.323862832,0.207523843,38,1.644736842,,0.258661713,0.416470865
862,489,293,188,481.9078947,309.2105263,2047,2047,0.259156876,0,38,1.644736842,,,
634,446,228,43,375,70.72368421,600,2047,0.049342105,0,38,1.644736842,,,
628,444,6,2,9.868421053,3.289473684,800,2047,0.180921053,0,38,1.644736842,,,
650,448,22,4,36.18421053,6.578947368,1000,2047,0.222039474,0,38,1.644736842,,,
677,452,27,4,44.40789474,6.578947368,1200,2047,0.246710526,0,38,1.644736842,,,
707,457,30,5,49.34210526,8.223684211,1400,2047,0.271381579,0,38,1.644736842,,,
740,464,33,7,54.27631579,11.51315789,1600,2047,0.304276316,0,38,1.644736842,,,
777,470,37,6,60.85526316,9.868421053,1800,2047,0.3125,0,38,1.644736842,,,
815,478,38,8,62.5,13.15789474,2000,2047,0.320723684,0,38,1.644736842,,,
854,486,39,8,64.14473684,13.15789474,2200,2047,0.328947368,0,38,1.644736842,,,
894,494,40,8,65.78947368,13.15789474,2400,2047,0.345394737,0,38,1.644736842,,,
936,502,42,8,69.07894737,13.15789474,2600,2047,0.361842105,0,38,1.644736842,,,
980,511,44,9,72.36842105,14.80263158,2800,2047,0.008223684,0,38,1.644736842,,,
1029,521,1,0,1.644736842,0,3000,2047,0.386513158,0,38,1.644736842,,,
1030,521,47,9,77.30263158,14.80263158,3200,2047,0.345394737,0,38,1.644736842,,,
1077,530,42,8,69.07894737,13.15789474,3400,2047,0.195715175,0.318262831,38,1.644736842,,,
1119,538,161,280,264.8026316,460.5263158,2047,600,0,0,38,1.644736842,,,
958,258,1,0,1.644736842,0,2047,800,0,0.131578947,38,1.644736842,,,
959,232,5,16,8.223684211,26.31578947,2047,1000,0,0.213815789,38,1.644736842,,,
960,232,5,26,8.223684211,42.76315789,2047,1200,0,0.238486842,38,1.644736842,,,
955,248,5,29,8.223684211,47.69736842,2047,1400,0,0.287828947,38,1.644736842,,,
950,274,6,35,9.868421053,57.56578947,2047,1600,0,0.296052632,38,1.644736842,,,
945,303,7,36,11.51315789,59.21052632,2047,1800,0,0.337171053,38,1.644736842,,,
939,338,6,41,9.868421053,67.43421053,2047,2000,0,0.353618421,38,1.644736842,,,
932,374,8,43,13.15789474,70.72368421,2047,2200,0,0.345394737,38,1.644736842,,,
926,415,6,42,9.868421053,69.07894737,2047,2400,0,0.370065789,38,1.644736842,,,
918,458,7,45,11.51315789,74.01315789,2047,2600,0,0.411184211,38,1.644736842,,,
912,500,8,50,13.15789474,82.23684211,2047,2800,0,0.427631579,38,1.644736842,,,
905,545,8,52,13.15789474,85.52631579,2047,3000,0,0.008223684,38,1.644736842,,,
897,595,1,1,1.644736842,1.644736842,2047,3200,0,0.345394737,38,1.644736842,,,
889,647,7,42,11.51315789,69.07894737,2047,3400,0,2.064144737,38,1.644736842,,,
879,698,14,251,23.02631579,412.8289474,N/A,N/A,N/A,N/A,38,1.644736842,,,
887,488,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
