X Coord,Y Coord,Movement X (pixels),Movement Y (pixel),Microns Moved X,Microns Moved Y,X DAC Value,Y DAC Value,Microns Per ADU X,Microns Per ADU Y,Detected Circle Radii (pixel),Detected Pixel Size (microns/pixel)
935,459,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,1.689189189
931,503,4,44,6.756756757,74.32432432,N/A,N/A,N/A,N/A,37,1.689189189
930,509,1,6,1.689189189,10.13513514,2047,2047,0.027244987,0.400728349,37,1.689189189
954,156,24,353,40.54054054,596.2837838,559,559,0.033466139,0.388547547,37,1.689189189
895,841,59,685,99.66216216,1157.094595,3537,3537,0,0.168412957,37,1.689189189
1195,608,300,233,506.7567568,393.5810811,3537,1200,0.359051967,0.09974673,37,1.689189189
562,470,633,138,1069.256757,233.1081081,559,3537,0.366672116,0.058951569,37,1.689189189
885,522,323,52,545.6081081,87.83783784,2047,2047,0.009081662,0.045347361,37,1.689189189
893,482,8,40,13.51351351,67.56756757,N/A,N/A,N/A,N/A,37,1.689189189
